longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
-122.18,37.81,30,292,38,126,52,6.3624,NEAR BAY
-122.36,37.92,52,215,41,126,43,1.3929,NEAR BAY
-117.7,33.72,6,211,51,125,44,1.9659,<1H OCEAN
-122.27,37.8,10,105,42,125,39,0.9722,NEAR BAY
-121.31,37.9,38,226,44,125,38,2.9,INLAND
-118.24,34.12,34,80,26,125,35,0.8907,<1H OCEAN
-122.38,37.76,52,248,68,124,51,1.4886,NEAR BAY
-120.59,37.59,36,291,48,124,47,5.6945,INLAND
-115.72,32.75,16,348,99,123,54,2.0938,INLAND
-115.52,34.22,30,540,136,122,63,1.3333,INLAND
-120.26,38.13,17,301,94,122,47,4.0583,INLAND
-118.23,34.21,50,309,47,121,45,6.213,<1H OCEAN
-121.04,37.7,52,349,59,121,40,3.3036,INLAND
-121.39,39.39,52,189,34,121,37,3.0208,INLAND
-117.97,34.11,18,123,28,121,26,3.0417,INLAND
-121.9,37.37,20,78,72,120,69,1.0938,<1H OCEAN
-122.08,39.25,52,224,38,120,45,3.017,INLAND
-116.67,32.97,16,349,74,120,43,5.359,<1H OCEAN
-117.18,33.51,13,270,42,120,42,6.993,<1H OCEAN
-121.03,37.65,37,375,58,120,37,3.9844,INLAND
-118.42,34.16,17,277,70,119,59,4.0208,<1H OCEAN
-114.94,34.55,20,350,95,119,58,1.625,INLAND
-117.51,34.16,2,718,98,119,50,4.1,INLAND
-117.64,34.02,6,248,47,119,42,2.125,INLAND
-121.5,38.59,43,88,21,119,19,1.725,INLAND
-120.35,37.86,25,287,57,118,50,2.3056,INLAND
-122.44,37.74,23,184,44,118,40,4.5375,NEAR BAY
-119.09,35.43,28,254,35,118,37,4.8571,INLAND
-116.44,33.74,5,846,249,117,67,7.9885,INLAND
-118.69,34.08,23,204,40,117,41,9.7646,NEAR OCEAN
-114.57,33.52,27,173,35,117,34,2.0833,INLAND
-121.22,38.04,42,343,50,116,49,5.5376,INLAND
-123.18,39.23,18,243,55,115,54,2.125,<1H OCEAN
-117.27,33.93,2,337,55,115,49,3.1042,INLAND
-121.42,38.55,35,182,39,115,43,2.6417,INLAND
-121.93,37.78,2,227,35,114,49,3.1591,<1H OCEAN
-120.3,38.9,11,1961,435,113,53,0.9227,INLAND
